,Retrieve_date,VM_serial,Code,Description,Values
116,2019-12-03 13:11:55,1190466,DA701,Cashless 1 User Group Number,1
117,2019-12-03 13:11:55,1190466,DA702,Cashless 1 User Group Net Sales since last reset.,0
118,2019-12-03 13:11:55,1190466,DA705,Number of products sold to Cashless 1 user group since initialisation,0
119,2019-12-03 13:11:55,1190466,DA706,Number of products sold to Cashless 1 user group since last reset,0
120,2019-12-03 13:11:55,1190466,DA707,Cashless 1 User Group Net Sales since initialization ,0
121,2019-12-03 13:11:55,1190466,DA701,Cashless 1 User Group Number,2
122,2019-12-03 13:11:55,1190466,DA702,Cashless 1 User Group Net Sales since last reset.,0
123,2019-12-03 13:11:55,1190466,DA705,Number of products sold to Cashless 1 user group since initialisation,0
124,2019-12-03 13:11:55,1190466,DA706,Number of products sold to Cashless 1 user group since last reset,0
125,2019-12-03 13:11:55,1190466,DA707,Cashless 1 User Group Net Sales since initialization ,0
126,2019-12-03 13:11:55,1190466,DA701,Cashless 1 User Group Number,3
127,2019-12-03 13:11:55,1190466,DA702,Cashless 1 User Group Net Sales since last reset.,0
128,2019-12-03 13:11:55,1190466,DA705,Number of products sold to Cashless 1 user group since initialisation,0
129,2019-12-03 13:11:55,1190466,DA706,Number of products sold to Cashless 1 user group since last reset,0
130,2019-12-03 13:11:55,1190466,DA707,Cashless 1 User Group Net Sales since initialization ,0
131,2019-12-03 13:11:55,1190466,DA701,Cashless 1 User Group Number,4
132,2019-12-03 13:11:55,1190466,DA702,Cashless 1 User Group Net Sales since last reset.,0
133,2019-12-03 13:11:55,1190466,DA705,Number of products sold to Cashless 1 user group since initialisation,0
134,2019-12-03 13:11:55,1190466,DA706,Number of products sold to Cashless 1 user group since last reset,0
135,2019-12-03 13:11:55,1190466,DA707,Cashless 1 User Group Net Sales since initialization ,0
136,2019-12-03 13:11:55,1190466,DA701,Cashless 1 User Group Number,5
137,2019-12-03 13:11:55,1190466,DA702,Cashless 1 User Group Net Sales since last reset.,0
138,2019-12-03 13:11:55,1190466,DA705,Number of products sold to Cashless 1 user group since initialisation,0
139,2019-12-03 13:11:55,1190466,DA706,Number of products sold to Cashless 1 user group since last reset,0
140,2019-12-03 13:11:55,1190466,DA707,Cashless 1 User Group Net Sales since initialization ,0
141,2019-12-03 13:11:55,1190466,DB201,Value of Cashless 2 Sales Since Initiatlisation,917610
142,2019-12-03 13:11:55,1190466,DB202,Number Of Cashless 2 Vends Since Initialisation,0
143,2019-12-03 13:11:55,1190466,DB203,Value of Cashless 2 Sales Since Last Reset,0
144,2019-12-03 13:11:55,1190466,DB204,Number of Cashless 2 Vends Since Last Reset,0
145,2019-12-03 13:11:55,1190466,DB401,Value Credited To Cashless 2 Since Initialisation,220
146,2019-12-03 13:11:55,1190466,DB402,Value Credited To Cashless 2 Since Last Reset,0
147,2019-12-03 13:11:55,1190466,DB501,Value of Cashless 2 Discounts Since Last Reset,0
148,2019-12-03 13:11:55,1190466,DB502,Number Of Discount Cashless 2 Vends Since Last Reset,0
149,2019-12-03 13:11:55,1190466,DB503,Value Of Cashless 2 Discounts Since Initialisation,3390
150,2019-12-03 13:11:55,1190466,DB504,Number Of Discount Cashless 2 Vends Since Initialisation,640760
151,2019-12-03 13:11:55,1190466,DB505,Value of Cashless 2 Surcharges Since Last Reset,0
152,2019-12-03 13:11:55,1190466,DB507,Value Of Cashless 2 Surcharges Since Initialisation,0
153,2019-12-03 13:11:55,1190466,TA201,Value of Vend Token Vends Since Initialisation,0
154,2019-12-03 13:11:55,1190466,TA202,No. of Vend Token Vends Since Initialisation,0
155,2019-12-03 13:11:55,1190466,TA203,Value of Vend Token Sales Since Last Reset,0
156,2019-12-03 13:11:55,1190466,TA204,No. of Vend Token Sales Since Last Reset,0
157,2019-12-03 13:11:55,1190466,TA205,Value of Value Token Since Initialisation,0
158,2019-12-03 13:11:55,1190466,TA206,No. of  Value Token Since Initialisation,0
159,2019-12-03 13:11:55,1190466,TA207,Value of Value Token Sales Since Last Reset,0
160,2019-12-03 13:11:55,1190466,TA208,No. of Value Token Vends Since Last Reset,0
161,2019-12-03 13:11:55,1190466,TA301,Value of Value Tokens In Since Last Reset,0
162,2019-12-03 13:11:55,1190466,TA302,Value of Value Tokens In Since Initialisation,0
163,2019-12-03 13:11:55,1190466,TA501,Value of Token Overpay Since Last Reset,0
164,2019-12-03 13:11:55,1190466,TA502,Value of Token Overpay Since Initialisation,0
165,2019-12-03 13:11:55,1190466,TA701,Token Value,0
166,2019-12-03 13:11:55,1190466,TA702,Number of Tokens In Since Last Reset,0
167,2019-12-03 13:11:55,1190466,TA705,No. of Tokens In Since Initialisation,0
168,2019-12-03 13:11:55,1190466,TA701,Token Value,0
169,2019-12-03 13:11:55,1190466,TA702,Number of Tokens In Since Last Reset,0
170,2019-12-03 13:11:55,1190466,TA705,No. of Tokens In Since Initialisation,0
171,2019-12-03 13:11:55,1190466,TA701,Token Value,0
172,2019-12-03 13:11:55,1190466,TA702,Number of Tokens In Since Last Reset,0
173,2019-12-03 13:11:55,1190466,TA705,No. of Tokens In Since Initialisation,0
174,2019-12-03 13:11:55,1190466,TA101,,1
175,2019-12-03 13:11:55,1190466,TA102,,0
176,2019-12-03 13:11:55,1190466,TA101,,2
177,2019-12-03 13:11:55,1190466,TA102,,0
178,2019-12-03 13:11:55,1190466,TA101,,3
179,2019-12-03 13:11:55,1190466,TA102,,0
180,2019-12-03 13:11:55,1190466,EA101,Event Identification,EFL_1
181,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190705
182,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,161415
183,2019-12-03 13:11:55,1190466,EA201,Event Identification,EFL_1
184,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
185,2019-12-03 13:11:55,1190466,EA101,Event Identification,EFL_1
186,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190705
187,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,162226
188,2019-12-03 13:11:55,1190466,EA201,Event Identification,EFL_1
189,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
190,2019-12-03 13:11:55,1190466,EA101,Event Identification,EFL_1
191,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190705
192,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,162514
193,2019-12-03 13:11:55,1190466,EA201,Event Identification,EFL_1
194,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
195,2019-12-03 13:11:55,1190466,EA101,Event Identification,EDI_5
196,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190801
197,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,130042
198,2019-12-03 13:11:55,1190466,EA201,Event Identification,EDI_5
199,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
200,2019-12-03 13:11:55,1190466,EA101,Event Identification,EDI_5
201,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190801
202,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,133027
203,2019-12-03 13:11:55,1190466,EA201,Event Identification,EDI_5
204,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
205,2019-12-03 13:11:55,1190466,EA101,Event Identification,EDI_5
206,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190801
207,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,133747
208,2019-12-03 13:11:55,1190466,EA201,Event Identification,EDI_5
209,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
210,2019-12-03 13:11:55,1190466,EA101,Event Identification,EFL_1
211,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190826
212,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,120200
213,2019-12-03 13:11:55,1190466,EA201,Event Identification,EFL_1
214,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
215,2019-12-03 13:11:55,1190466,EA101,Event Identification,EBD
216,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190903
217,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,132901
218,2019-12-03 13:11:55,1190466,EA201,Event Identification,EBD
219,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
220,2019-12-03 13:11:55,1190466,EA101,Event Identification,EDI_4
221,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190930
222,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,083850
223,2019-12-03 13:11:55,1190466,EA201,Event Identification,EDI_4
224,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
225,2019-12-03 13:11:55,1190466,EA101,Event Identification,EDI_4
226,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190930
227,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,084914
228,2019-12-03 13:11:55,1190466,EA201,Event Identification,EDI_4
229,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
230,2019-12-03 13:11:55,1190466,EA101,Event Identification,EDI_4
231,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,190930
232,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,085022
233,2019-12-03 13:11:55,1190466,EA201,Event Identification,EDI_4
234,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
235,2019-12-03 13:11:55,1190466,EA101,Event Identification,EBD
236,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,191030
237,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,144503
238,2019-12-03 13:11:55,1190466,EA201,Event Identification,EBD
239,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
240,2019-12-03 13:11:55,1190466,EA101,Event Identification,EBD
241,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,191111
242,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,135725
243,2019-12-03 13:11:55,1190466,EA201,Event Identification,EBD
244,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
245,2019-12-03 13:11:55,1190466,EA101,Event Identification,EDT_1
246,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,191113
247,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,125306
248,2019-12-03 13:11:55,1190466,EA201,Event Identification,EDT_1
249,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
250,2019-12-03 13:11:55,1190466,EA101,Event Identification,OBH
251,2019-12-03 13:11:55,1190466,EA102,Data of Event Occurance,191125
252,2019-12-03 13:11:55,1190466,EA103,Time of Event Occurance,112227
253,2019-12-03 13:11:55,1190466,EA201,Event Identification,OBH
254,2019-12-03 13:11:55,1190466,EA205,Event Activity,0
255,2019-12-03 13:11:55,1190466,EA701,Number of Power Outages Since Last Reset,5
256,2019-12-03 13:11:55,1190466,EA702,Number of Power Outages Since Initialisation,15461
257,2019-12-03 13:11:55,1190466,EA301,Number Of Reads with RESET Since Initialisation,404
258,2019-12-03 13:11:55,1190466,EA302,Date Of This Read Out,191203
259,2019-12-03 13:11:55,1190466,EA303,Time Of This Read Out,131155
260,2019-12-03 13:11:55,1190466,EA304,This Terminal / interrogator Identification,0000
261,2019-12-03 13:11:55,1190466,EA305,Date Of Last Read Out,191128
262,2019-12-03 13:11:55,1190466,EA306,Time Of Last Read Out,134859
263,2019-12-03 13:11:55,1190466,EA307,Last Terminal / interrogator Identification,0000
264,2019-12-03 13:11:55,1190466,PP101,Preselection Number,0
265,2019-12-03 13:11:55,1190466,PP102,Preselection Price,0
266,2019-12-03 13:11:55,1190466,PP103,Preselection Identification,SUGAR VARIATION
267,2019-12-03 13:11:55,1190466,PP104,Preselection Incremental Price,0
268,2019-12-03 13:11:55,1190466,PP105,Number of Times Preselection Used Since Initialisation,8572
269,2019-12-03 13:11:55,1190466,PP107,Number of Times Preselection Used Since Reset,136
270,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,1
271,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,4828
272,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,754229
273,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,2
274,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,0
275,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,0
276,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,3
277,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,0
278,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,0
279,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,4
280,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,7290
281,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,913798
282,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,5
283,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,10200
284,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,1155410
285,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,6
286,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,1680
287,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,99818
288,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,7
289,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,2720
290,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,330320
291,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,8
292,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,3910
293,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,556256
294,2019-12-03 13:11:55,1190466,SA201,Ingredient Number,9
295,2019-12-03 13:11:55,1190466,SA202,Quality of Ingredient Vended Since Last Reset,0
296,2019-12-03 13:11:55,1190466,SA203,Quantity of Ingredients Vended Since Initialisation,0
297,2019-12-03 13:11:55,1190466,PA101,Product Number,2
298,2019-12-03 13:11:55,1190466,PA102,Product Price,1
299,2019-12-03 13:11:55,1190466,PA103,Product Name,espresso
300,2019-12-03 13:11:55,1190466,PA107,Selection Status,1
301,2019-12-03 13:11:55,1190466,PA201,Product Vends Cumulative Item Counts,613
302,2019-12-03 13:11:55,1190466,PA202,Product Vends Cumulative Sales Value,0
303,2019-12-03 13:11:55,1190466,PA203,Product Vends Interval Period Item Counts,26
304,2019-12-03 13:11:55,1190466,PA204,Product Vends Interval Period Sales Value,0
305,2019-12-03 13:11:55,1190466,PA205,Discounted Vends Cumulative Item Counts,0
306,2019-12-03 13:11:55,1190466,PA206,Discounted Vends Cumulative Sales Value,0
307,2019-12-03 13:11:55,1190466,PA207,Discounted Vends Interval Period Item Counts,0
308,2019-12-03 13:11:55,1190466,PA208,Discounted Vends Interval Period Sales Value,0
309,2019-12-03 13:11:55,1190466,PA301,Test Vends Cumulative Item Counts,0
310,2019-12-03 13:11:55,1190466,PA303,Test Vends Interval Period Item Counts,0
311,2019-12-03 13:11:55,1190466,PA401,Free Vends Cumulative Item Counts,227
312,2019-12-03 13:11:55,1190466,PA402,Free Vends Cumulative Sales Value,227
313,2019-12-03 13:11:55,1190466,PA403,Free Vends Interval Period Item Counts,2
314,2019-12-03 13:11:55,1190466,PA101,Product Number,3
315,2019-12-03 13:11:55,1190466,PA102,Product Price,1
316,2019-12-03 13:11:55,1190466,PA103,Product Name,coffee black
317,2019-12-03 13:11:55,1190466,PA107,Selection Status,1
318,2019-12-03 13:11:55,1190466,PA201,Product Vends Cumulative Item Counts,1223
319,2019-12-03 13:11:55,1190466,PA202,Product Vends Cumulative Sales Value,0
