,Retrieve_date,File_name,VM_serial,Code,Description,Values
64,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA706,Number of products sold to Cashless 1 user group since last reset,0
65,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA707,Cashless 1 User Group Net Sales since initialization ,0
66,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA701,Cashless 1 User Group Number,3
67,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA702,Cashless 1 User Group Net Sales since last reset.,0
68,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA705,Number of products sold to Cashless 1 user group since initialisation,0
69,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA706,Number of products sold to Cashless 1 user group since last reset,0
70,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA707,Cashless 1 User Group Net Sales since initialization ,0
71,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA701,Cashless 1 User Group Number,4
72,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA702,Cashless 1 User Group Net Sales since last reset.,0
73,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA705,Number of products sold to Cashless 1 user group since initialisation,0
74,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA706,Number of products sold to Cashless 1 user group since last reset,0
75,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA707,Cashless 1 User Group Net Sales since initialization ,0
76,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA701,Cashless 1 User Group Number,5
77,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA702,Cashless 1 User Group Net Sales since last reset.,0
78,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA705,Number of products sold to Cashless 1 user group since initialisation,0
79,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA706,Number of products sold to Cashless 1 user group since last reset,0
80,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA707,Cashless 1 User Group Net Sales since initialization ,0
81,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB201,Value of Cashless 2 Sales Since Initiatlisation,0
82,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB202,Number Of Cashless 2 Vends Since Initialisation,0
83,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB203,Value of Cashless 2 Sales Since Last Reset,0
84,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB204,Number of Cashless 2 Vends Since Last Reset,0
85,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB401,Value Credited To Cashless 2 Since Initialisation,0
86,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB402,Value Credited To Cashless 2 Since Last Reset,0
87,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB501,Value of Cashless 2 Discounts Since Last Reset,0
88,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB502,Number Of Discount Cashless 2 Vends Since Last Reset,0
89,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB503,Value Of Cashless 2 Discounts Since Initialisation,0
90,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB504,Number Of Discount Cashless 2 Vends Since Initialisation,0
91,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB505,Value of Cashless 2 Surcharges Since Last Reset,0
92,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DB507,Value Of Cashless 2 Surcharges Since Initialisation,0
93,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA201,Value of Vend Token Vends Since Initialisation,0
94,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA202,No. of Vend Token Vends Since Initialisation,0
95,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA203,Value of Vend Token Sales Since Last Reset,0
96,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA204,No. of Vend Token Sales Since Last Reset,0
97,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA205,Value of Value Token Since Initialisation,0
98,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA206,No. of  Value Token Since Initialisation,0
99,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA207,Value of Value Token Sales Since Last Reset,0
100,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA208,No. of Value Token Vends Since Last Reset,0
101,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA301,Value of Value Tokens In Since Last Reset,0
102,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA302,Value of Value Tokens In Since Initialisation,0
103,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA501,Value of Token Overpay Since Last Reset,0
104,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA502,Value of Token Overpay Since Initialisation,0
105,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,TA701,Token Value,0
